id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,22,2,21,59,259,0,1,0,0,0,1,35,0
1,22,2,44,101,301,0,1,0,0,0,1,35,0
2,8,2,67,143,143,0,0,0,0,0,1,-1,
3,8,2,4007,196,396,0,1,0,0,0,1,9,0
4,2,3,40,223,422,0,1,0,0,0,1,2,0
5,2,8,15000,249,449,0,1,0,0,0,1,8,0
6,2,22,63,260,458,0,1,0,0,0,1,34,0
7,2,33,63,316,316,0,0,0,0,0,1,-1,
8,22,8,24,360,360,0,0,0,0,0,1,-1,
9,22,8,39,410,410,0,0,0,0,0,1,-1,
10,1234,1945,85,550,949,0,1,0,0,0,1,8712-56330,0
11,2,8,21,690,690,0,0,0,0,0,1,-1,
12,2,8,4004,830,1028,0,1,0,0,0,1,8,0
13,2,33,67,970,970,0,0,0,0,0,1,-1,
14,2,33,4007,1110,1311,0,1,0,0,0,1,60,0
15,8,22,40,1250,1250,0,0,0,0,0,1,-1,
16,8,22,1005,1390,1789,0,1,0,0,0,1,9-34,100
17,22,8,63,1530,1530,0,0,0,0,0,1,-1,
18,22,8,6003,1670,2071,0,1,0,0,0,1,35-8,200
19,22,8,24,1810,1810,0,0,0,0,0,1,-1,
20,22,8,39,1950,1950,0,0,0,0,0,1,-1,
21,1234,1945,85,2090,2489,0,1,0,0,0,1,8712-56330,0
22,22,2,21,2230,2427,0,1,0,0,0,1,35,0
23,22,2,44,2370,2568,0,1,0,0,0,1,35,0
24,22,2,67,2510,2710,0,1,0,0,0,1,35,0
25,22,2,47,2650,2849,0,1,0,0,0,1,35,0
26,2,22,40,2790,2989,0,1,0,0,0,1,34,0
27,2,22,15,2930,3127,0,1,0,0,0,1,34,0
28,2,22,63,3070,3269,0,1,0,0,0,1,34,0
29,2,22,63,3210,3407,0,1,0,0,0,1,34,0
30,22,8,24,3350,3350,0,0,0,0,0,1,-1,
31,22,8,39,3490,3490,0,0,0,0,0,1,-1,
32,1234,1945,85,3630,4029,0,1,0,0,0,1,8712-56330,0
33,22,2,21,3770,3967,0,1,0,0,0,1,35,0
34,22,2,44,3910,4109,0,1,0,0,0,1,35,0
35,22,2,67,4050,4247,0,1,0,0,0,1,35,0
36,22,2,47,4190,4388,0,1,0,0,0,1,35,0
37,2,22,40,4330,4529,0,1,0,0,0,1,34,0
38,2,22,15,4470,4671,0,1,0,0,0,1,34,0
39,2,22,63,4610,4810,0,1,0,0,0,1,34,0
40,2,22,63,4750,4952,0,1,0,0,0,1,34,0
41,22,8,24,4890,4890,0,0,0,0,0,1,-1,
42,22,8,39,5030,5030,0,0,0,0,0,1,-1,
43,1234,1945,85,5170,5568,0,1,0,0,0,1,8712-56330,0
44,22,2,21,5310,5512,0,1,0,0,0,1,35,0
45,22,2,44,5450,5649,0,1,0,0,0,1,35,0
46,22,2,67,5590,5789,0,1,0,0,0,1,35,0
47,22,2,47,5730,5930,0,1,0,0,0,1,35,0
