budget_percent,unique_paths_controlled
0.01,30402
0.09,108825
0.17,257469
0.25,306205
0.34,334242
0.42,376751
0.5,400494
0.58,451456
0.66,480091
0.74,492803
0.82,507186
0.91,520785
0.99,524764
1.07,530768
1.15,536302
1.23,541460
1.31,546966
1.39,551223
1.48,591452
1.56,592948
1.64,600451
1.72,604209
1.8,611204
1.88,615379
1.96,618247
2.05,620872
2.13,633680
2.21,633680
2.29,638516
2.37,644694
2.45,644887
2.53,650469
2.62,654657
2.7,656797
2.78,658997
2.86,666439
2.94,666439
3.02,668465
3.1,671430
3.19,673100
3.27,676688
3.35,683377
3.43,683377
3.51,683377
3.59,688460
3.67,688460
3.76,690327
3.84,696132
3.92,696132
4.0,696961
