budget_btc,unique_paths_controlled
0.01,2901
0.011678,3379
0.013638,3690
0.015926,3805
0.018598,4477
0.021719,4774
0.025363,5378
0.029619,5682
0.034589,6335
0.040394,7126
0.047171,8311
0.055087,9323
0.06433,10532
0.075125,11811
0.087731,12973
0.102452,13876
0.119643,15126
0.139719,16488
0.163164,19166
0.190542,21342
0.222515,22918
0.259853,25177
0.303456,27590
0.354375,30582
0.413839,34484
0.48328,37956
0.564374,41067
0.659075,44047
0.769667,48702
0.898816,52243
1.049636,56920
1.225764,62771
1.431445,70492
1.67164,76387
1.952138,85055
2.279705,91062
2.662236,100434
3.108955,107394
3.630634,114214
4.239849,126832
4.95129,139555
5.78211,268538
6.75234,280717
7.885373,294956
9.208528,322053
10.753706,338529
12.558163,374303
14.665406,390737
17.12624,410948
20.0,472523
